Kod	Nazwa
065S06/WAS II	Sklejka brzozowa WD , gr. 6,5 mm 1787x3311 Cod no. 128790
065S06/xcut E	sklejka liściasta WD, gr. 6,5 mm 1900x3850
065S07/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 CP/CP
065S07/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 CP/CP
065S07/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 CP/CP
065S07/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 CP/CP
065S07/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 CP/CP
065S09/03 E	Sklejka liściasta wodoodporna 6,5x1220x2440 WG/WG
065S09/04 E	Sklejka liściasta wodoodporna 6,5x2440x1220 WG/WG
065S09/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 WG/WG
065S09/06 E	Sklejka liściasta wodoodporna 6,5x2500x1250 WG/WG
065S09/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 WG/WG
065S09/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 WG/WG
065S09/26 E	Sklejka liściasta wodoodporna 6,5x2150x1250 WG/WG
065S09/27 E	Sklejka liściasta wodoodporna 6,5x2150x3850 WG/WG
065S09/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750 WG/WG
065S09/75 E	Sklejka liściasta wodoodporna 6,5x2150x4000 WG/WG
065S10/03 E S2S	Sklejka liściasta wodoodporna 6,5x1220x2440 C/C
065S10/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C
065S10/05 E S2S	Sklejka liściasta wodoodporna 6,5x1250x2500 C/C
065S10/05 E TB	Sklejka bintangor/topola 6,5x1250x2500 C/C
065S10/06 E S2S	Sklejka liściasta wodoodporna 6,5x2500x1250 C/C
065S10/12 E S2S	Sklejka liściasta wodoodporna 6,5x1500x3000 C/C
065S10/56 E	Sklejka liściasta wodoodporna 6,5x1525x2750 C/C
065S11/03 E	Sklejka liściasta wodoodporna 6,5x1200x2440 kilo
065S11/03 E PQ	Sklejka liściasta wodoodporna 6,5x1220x2440
065S11/03 E S2S	Sklejka liściasta wodoodporna 6,5x1220x2440 kilo
065S11/03 PQ	Sklejka liściasta foliowana 6,5x1220x2440
065S11/04 E S2S	Sklejka liściasta wodoodporna 6,5x2440x1220 kilo
065S11/05 E	Sklejka liściasta wodoodporna 6,5x1250x2500 kilo
065S11/05 E PQ	Sklejka liściasta wodoodporna 6,5x1250x2500
065S11/05 E S2S	Sklejka liściasta wodoodporna 6,5x1250x2500 kilo
065S11/07 E	Sklejka liściasta wodoodporna 6,5x1500x2500
065S11/07 E PQ	Sklejka liściasta wodoodporna 6,5x1500x2500
065S11/07 PQ	Sklejka liściasta foliowana 6,5x1500x2500
065S11/09 E	Sklejka liściasta wodoodporna 6,5x1525x2500 kilo
065S11/106 PQ	Sklejka liściasta suchotrwała 6,5x1850x1220
065S11/106 PQ F	Sklejka liściasta suchotrwała 6,5x1850x1220
065S11/11 E	Sklejka liściasta wodoodporna 6,5x1525x3050 kilo
065S11/11 PQ	Sklejka liściasta wodoodporna 6,5x1525x3050
065S11/11 PQ F	Sklejka liściasta wodoodporna 6,5x1525x3050
065S11/12 E	Sklejka liściasta wodoodporna 6,5x1500x3000 kilo
065S11/12 PQ	Sklejka liściasta suchotrwała 6,5x1500x3000
065S11/12 PQ F	Sklejka liściasta suchotrwała 6,5x1500x3000
065S11/23 S2S	Sklejka liściasta wodoodporna 6,5x1500x2700 kilo
065S11/26 E	Sklejka liściasta wodoodporna 6,5x2150x1250
065S11/26 PQ	Sklejka liściasta wodoodporna 6,5x2150x1250
065S11/26 PQ F	Sklejka liściasta wodoodporna 6,5x2150x1250
065S11/32 E	Sklejka liściasta wodoodporna 6,5x1200x3000 kilo
065S11/60 E	Sklejka liściasta wodoodporna 6,5x1250x2750
065S11/60 E PQ	Sklejka liściasta wodoodporna 6,5x1250x2750
065S11/60 PQ	Sklejka liściasta wodoodporna 6,5x1250x2750
065S11/64 E S2S	Sklejka liściasta wodoodporna 6,5x1200x2400 kilo
065S11/64 PQ	Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ
065S11/65 PQ	Sklejka liściasta suchotrwała 6,5x1525x2150
065S11/69 E	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo
065S11/69 PQ	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo
065S11/69 PQ F	Sklejka liściasta wodoodporna 6,5x2150x1525 kilo
065S11/72 F/F	Sklejka liściasta foliowana 6,5x1960x780mm
065S11/76 PQ	Sklejka liściasta wodoodporna 6,5x1525x3660
065S12 P 1830x3100 mm	sklejka liściasta WD gr. 065 mm 1830x3100
065S12/03 F/F	Sklejka liściasta foliowana 6,5x1220x2440 F/F
065S12/03 F/F black	Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna
065S12/03 F/F green	Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona
065S12/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F
065S12/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F black
065S12/05 F/F Black R	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna
